direction,chrF2++
eng-afr,64.47
eng-amh,38.31
eng-arb,54.92
eng-ary,37.31
eng-arz,44.85
eng-asm,35.49
eng-azj,43.05
eng-bel,41.99
eng-ben,47.98
eng-bos,57.99
eng-bul,65.37
eng-cat,64.82
eng-ceb,56.72
eng-ces,57.31
eng-ckb,42.38
eng-cmn,23.56
eng-cmn_Hant,18.68
eng-cym,65.99
eng-dan,68.27
eng-deu,64.38
eng-ell,52.14
eng-est,56.68
eng-eus,51.62
eng-fin,53.89
eng-fra,70.2
eng-fuv,9.92
eng-gaz,34.21
eng-gle,54.97
eng-glg,59.67
eng-guj,51.61
eng-heb,57.23
eng-hin,56.79
eng-hrv,56.79
eng-hun,55.51
eng-hye,49.43
eng-ibo,40.56
eng-ind,68.88
eng-isl,49.52
eng-ita,57.19
eng-jav,54.13
eng-jpn,25.15
eng-kan,51.46
eng-kat,47.5
eng-kaz,51.06
eng-khk,42.64
eng-khm,34.02
eng-kir,44.56
eng-kor,34.56
eng-lao,42.58
eng-lit,54.24
eng-lug,36.22
eng-luo,38.62
eng-lvs,55.52
eng-mai,42.42
eng-mal,49.26
eng-mar,45.83
eng-mkd,60.23
eng-mlt,64.8
eng-mni,38.41
eng-mya,32.31
eng-nld,55.55
eng-nno,51.85
eng-nob,59.77
eng-npi,49.76
eng-nya,45.5
eng-ory,44.59
eng-pan,48.24
eng-pbt,37.77
eng-pes,50.92
eng-pol,48.99
eng-por,70.2
eng-ron,61.89
eng-rus,56.24
eng-sat,0.46
eng-slk,58.91
eng-slv,55.91
eng-sna,42.32
eng-snd,48.09
eng-som,42.43
eng-spa,54.25
eng-srp,60.07
eng-swe,68.28
eng-swh,59.13
eng-tam,52.43
eng-tel,53.99
eng-tgk,50.49
eng-tgl,60.09
eng-tha,41.57
eng-tur,58.57
eng-ukr,55.72
eng-urd,47.99
eng-uzn,51.13
eng-vie,59.04
eng-yor,22.65
eng-yue,16.98
eng-zlm,62.66
eng-zul,51.68
afr-eng,75.6
amh-eng,58.81
arb-eng,64.99
ary-eng,52.66
arz-eng,57.68
asm-eng,55.71
azj-eng,52.03
bel-eng,51.73
ben-eng,60.16
bos-eng,66.18
bul-eng,65.74
cat-eng,68.11
ceb-eng,66.27
ces-eng,63.62
ckb-eng,56.11
cmn-eng,55.7
cmn_Hant-eng,53.65
cym-eng,71.58
dan-eng,69.52
deu-eng,67
ell-eng,59.99
est-eng,61.05
eus-eng,58.07
fin-eng,58.35
fra-eng,68
fuv-eng,28.24
gaz-eng,47.1
gle-eng,61.25
glg-eng,66.08
guj-eng,65.09
heb-eng,65.57
hin-eng,62.76
hrv-eng,62.16
hun-eng,60.37
hye-eng,63.2
ibo-eng,53.19
ind-eng,65.85
isl-eng,56.55
ita-eng,60.15
jav-eng,61.49
jpn-eng,52.06
kan-eng,59.13
kat-eng,55.25
kaz-eng,58.53
khk-eng,52.68
khm-eng,55.38
kir-eng,50.97
kor-eng,53.63
lao-eng,59.08
lit-eng,56.78
lug-eng,43.63
luo-eng,47.49
lvs-eng,59.06
mai-eng,65.84
mal-eng,60.91
mar-eng,62.07
mkd-eng,66.17
mlt-eng,74.49
mni-eng,50.39
mya-eng,53.97
nld-eng,58.05
nno-eng,66.55
nob-eng,65.62
npi-eng,65.43
nya-eng,50.14
ory-eng,62.74
pan-eng,64.33
pbt-eng,57
pes-eng,61.48
pol-eng,55.48
por-eng,69.75
ron-eng,65.57
rus-eng,60.41
sat-eng,26.98
slk-eng,63.06
slv-eng,59.95
sna-eng,50.35
snd-eng,60.73
som-eng,50.82
spa-eng,57.91
srp-eng,67.05
swe-eng,69.23
swh-eng,62.62
tam-eng,57.72
tel-eng,62.76
tgk-eng,58.48
tgl-eng,65.59
tha-eng,54.48
tur-eng,60.69
ukr-eng,62.51
urd-eng,59.92
uzn-eng,57.73
vie-eng,59.23
yor-eng,41.47
yue-eng,49.22
zlm-eng,66.13
zul-eng,60.64
